,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Loc_ABS_Statistical_Area_4,Loc_Federal_Electorate,Loc_ABS_Remoteness,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Crash_Speed_Limit,Crash_Date
0,2001,January,Monday,22,Single Vehicle,153.02879280000002,-27.44965914,Brisbane Inner City,Brisbane,Major cities,0,0,0,0,0,60 km/h,200101
1,2001,January,Monday,2,Single Vehicle,152.9666571,-27.04944391,Moreton Bay - North,Longman,Major cities,0,0,0,0,0,100 - 110 km/h,200101
2,2001,January,Monday,14,Multi-Vehicle,152.8217877,-27.57349798,Ipswich,Blair,Major cities,0,0,1,0,1,0 - 50 km/h,200101
3,2001,January,Monday,0,Single Vehicle,152.9743981,-27.22550486,Moreton Bay - South,Longman,Major cities,0,0,0,1,1,60 km/h,200101
4,2001,January,Monday,15,Multi-Vehicle,153.0023852,-27.24896859,Moreton Bay - South,Longman,Major cities,0,0,1,0,1,60 km/h,200101
5,2001,January,Monday,11,Multi-Vehicle,153.0889071,-27.68082723,Logan - Beaudesert,Rankin,Major cities,0,0,0,1,1,70 km/h,200101
6,2001,January,Monday,4,Single Vehicle,152.980174,-27.15697192,Moreton Bay - North,Longman,Major cities,0,0,0,0,0,60 km/h,200101
7,2001,January,Monday,17,Multi-Vehicle,152.76074069999999,-27.61552317,Ipswich,Blair,Major cities,0,0,0,0,0,0 - 50 km/h,200101
8,2001,January,Monday,13,Multi-Vehicle,152.7472095,-27.58790429,Ipswich,Blair,Major cities,0,0,0,0,0,60 km/h,200101
9,2001,January,Monday,11,Multi-Vehicle,153.0764863,-27.39576088,Brisbane - North,Lilley,Major cities,0,0,0,0,0,60 km/h,200101
10,2001,January,Monday,20,Single Vehicle,152.95338619999998,-27.39666131,Moreton Bay - South,Dickson,Major cities,0,0,0,0,0,60 km/h,200101
11,2001,January,Monday,3,Multi-Vehicle,153.5389896,-28.16903735,Gold Coast,Mcpherson,Major cities,0,0,1,0,1,0 - 50 km/h,200101
12,2001,January,Monday,14,Multi-Vehicle,153.528013,-28.16757586,Gold Coast,Mcpherson,Major cities,0,0,0,1,1,60 km/h,200101
13,2001,January,Monday,10,Single Vehicle,153.3129051,-27.87021049,Gold Coast,Fadden,Major cities,0,0,0,1,1,100 - 110 km/h,200101
14,2001,January,Monday,16,Multi-Vehicle,153.369221,-28.01358817,Gold Coast,Moncrieff,Major cities,0,2,2,0,4,60 km/h,200101
15,2001,January,Monday,9,Multi-Vehicle,152.9604851,-26.6850522,Sunshine Coast,Fairfax,Major cities,0,0,0,0,0,60 km/h,200101
16,2001,January,Monday,14,Multi-Vehicle,153.4101201,-27.95791615,Gold Coast,Moncrieff,Major cities,0,0,1,0,1,60 km/h,200101
17,2001,January,Monday,15,Single Vehicle,153.3524624,-28.076181599999998,Gold Coast,Mcpherson,Major cities,0,0,0,0,0,60 km/h,200101
18,2001,January,Monday,4,Single Vehicle,153.4321984,-28.16608812,Gold Coast,Mcpherson,Major cities,0,0,0,1,1,80 - 90 km/h,200101
19,2001,January,Monday,4,Single Vehicle,152.831443,-25.27859052,Wide Bay,Hinkler,Inner regional,0,0,0,0,0,60 km/h,200101
20,2001,January,Monday,17,Multi-Vehicle,152.6840744,-25.51893639,Wide Bay,Wide Bay,Inner regional,0,1,0,0,1,60 km/h,200101
21,2001,January,Monday,18,Multi-Vehicle,151.9531569,-27.49893919,Toowoomba,Groom,Inner regional,0,1,0,0,1,100 - 110 km/h,200101
22,2001,January,Monday,18,Single Vehicle,149.0519839,-28.35719787,Darling Downs - Maranoa,Maranoa,Remote,0,2,3,0,5,100 - 110 km/h,200101
23,2001,January,Monday,1,Single Vehicle,151.99316869999998,-28.24492257,Darling Downs - Maranoa,Maranoa,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
24,2001,January,Monday,1,Hit pedestrian,146.8245113,-19.25758395,Townsville,Herbert,Outer regional,0,1,0,0,1,0 - 50 km/h,200101
25,2001,January,Monday,1,Single Vehicle,146.7519082,-19.26189413,Townsville,Herbert,Outer regional,0,0,0,0,0,70 km/h,200101
26,2001,January,Monday,1,Hit pedestrian,145.77756440000002,-16.92028699,Cairns,Leichhardt,Outer regional,0,0,0,1,1,0 - 50 km/h,200101
27,2001,January,Monday,7,Single Vehicle,145.1240316,-15.42280956,Queensland - Outback,Leichhardt,Remote,0,1,1,0,2,100 - 110 km/h,200101
28,2001,January,Monday,18,Single Vehicle,145.46106530000003,-16.4921199,Cairns,Leichhardt,Outer regional,0,0,0,0,0,60 km/h,200101
29,2001,January,Monday,11,Single Vehicle,146.0991618,-17.7731319,Cairns,Kennedy,Outer regional,0,0,0,0,0,100 - 110 km/h,200101
30,2001,January,Monday,14,Multi-Vehicle,153.17478119999998,-27.66264062,Logan - Beaudesert,Forde,Major cities,0,0,0,0,0,60 km/h,200101
